"キーID","ID","種別","状態","カテゴリー名","件名","詳細","担当者","開始日","期限日","更新日","発生フェーズ","顧客共有"
"1001","DEMO-001","作業","完了","データ移行","顧客データ移行手順の確認","現在の設計では対応難。代替案を検討中。","","3/25/2026","4/14/2026","4/22/2026","運用",""
"1002","DEMO-002","リスク","未対応","性能","パスワードリセットのフロー改善","","伊藤 健一","3/28/2026","4/8/2026","4/19/2026","運用","要"
"1003","DEMO-003","課題","処理済み","性能","ドキュメントの翻訳","詳細調査中。再現手順を固めてから改修に入る予定。","小林 真理","3/30/2026","4/13/2026","4/21/2026","テスト","要"
"1004","DEMO-004","リスク","未対応","ドキュメント","ログイン画面のレスポンス遅延","別部署からの連絡待ち。今週金曜までに回答を得たい。","佐藤 花子","3/28/2026","4/9/2026","4/14/2026","テスト","要"
"1005","DEMO-005","リスク","処理済み","互換性","帳票出力フォーマットの見直し","顧客から改善要望あり。次スプリントで対応方針を決定。","田中 太郎","4/16/2026","5/1/2026","4/13/2026","","要"
"1006","DEMO-006","作業","処理済み","セキュリティ","既存機能のリファクタリング","","鈴木次郎","3/23/2026","","4/17/2026","実装","要"
"1007","DEMO-007","質問","未対応","互換性","オンプレ → クラウド移行計画","詳細調査中。再現手順を固めてから改修に入る予定。","小林 真理","3/22/2026","4/3/2026","4/20/2026","","要"
"1008","DEMO-008","作業","未対応","データ移行","本番 DB 接続タイムアウト調査","別部署からの連絡待ち。今週金曜までに回答を得たい。","田中　太郎","4/18/2026","4/30/2026","4/20/2026","要件定義","不"
"1009","DEMO-009","質問","未対応","データ移行","既存機能のリファクタリング","現在の設計では対応難。代替案を検討中。","鈴木次郎","3/25/2026","4/3/2026","4/20/2026","テスト","要"
"1010","DEMO-010","質問","完了","ドキュメント","監視アラート閾値の調整","詳細調査中。再現手順を固めてから改修に入る予定。","","4/3/2026","","4/11/2026","実装","不"
"1011","DEMO-011","課題","処理中","UI/UX","監視アラート閾値の調整","別部署からの連絡待ち。今週金曜までに回答を得たい。","田中太郎","4/6/2026","4/16/2026","4/10/2026","運用",""
"1012","DEMO-012","作業","処理済み","データ移行","管理画面の権限バグ","現在の設計では対応難。代替案を検討中。","田中太郎","3/31/2026","4/15/2026","4/19/2026","運用","要"
"1013","DEMO-013","リスク","未対応","インフラ","API 仕様書の更新漏れ","現在の設計では対応難。代替案を検討中。","田中太郎","4/12/2026","5/4/2026","4/20/2026","","要"
"1014","DEMO-014","作業","処理済み","性能","監視アラート閾値の調整","","佐藤 花子","4/9/2026","4/12/2026","4/12/2026","リリース","要"
"1015","DEMO-015","課題","未対応","ドキュメント","既存機能のリファクタリング","別部署からの連絡待ち。今週金曜までに回答を得たい。","小林 真理","4/2/2026","4/16/2026","4/12/2026","リリース",""
"1016","DEMO-016","リスク","処理中","互換性","API 仕様書の更新漏れ","一時対応済み。恒久対応は次フェーズにキャリーオーバー。","田中　太郎","3/10/2026","4/2/2026","4/19/2026","テスト","不"
"1017","DEMO-017","質問","処理済み","UI/UX","ドキュメントの翻訳","","","3/21/2026","","4/20/2026","基本設計","要"
"1018","DEMO-018","作業","未対応","インフラ","コードレビュー指摘事項の対応","一時対応済み。恒久対応は次フェーズにキャリーオーバー。","田中 太郎","4/18/2026","4/29/2026","4/14/2026","詳細設計","要"
"1019","DEMO-019","課題","未対応","データ移行","帳票出力フォーマットの見直し","詳細調査中。再現手順を固めてから改修に入る予定。","田中太郎","4/7/2026","4/25/2026","4/10/2026","詳細設計","要"
"1020","DEMO-020","質問","処理中","UI/UX","ログイン画面のレスポンス遅延","","","3/16/2026","","4/14/2026","要件定義",""
"1021","DEMO-021","リスク","処理済み","","API 仕様書の更新漏れ","現在の設計では対応難。代替案を検討中。","小林 真理","3/17/2026","3/19/2026","4/23/2026","詳細設計","要"
"1022","DEMO-022","質問","処理中","ドキュメント","ログイン画面のレスポンス遅延","詳細調査中。再現手順を固めてから改修に入る予定。","伊藤 健一","3/12/2026","3/17/2026","4/12/2026","運用","要"
"1023","DEMO-023","リスク","処理済み","互換性","本番 DB 接続タイムアウト調査","現在の設計では対応難。代替案を検討中。","田中太郎","3/17/2026","3/31/2026","4/13/2026","要件定義","不"
"1024","DEMO-024","課題","処理中","セキュリティ","CI パイプラインの高速化","現在の設計では対応難。代替案を検討中。","伊藤 健一","4/16/2026","4/26/2026","4/14/2026","詳細設計","不"
"1025","DEMO-025","質問","完了","性能","帳票出力フォーマットの見直し","詳細調査中。再現手順を固めてから改修に入る予定。","高橋　美咲","4/13/2026","5/6/2026","4/20/2026","詳細設計","不"
"1026","DEMO-026","リスク","完了","性能","API 仕様書の更新漏れ","顧客から改善要望あり。次スプリントで対応方針を決定。","田中　太郎","4/13/2026","4/25/2026","4/16/2026","要件定義","要"
"1027","DEMO-027","リスク","処理中","互換性","決済処理のエラーハンドリング強化","顧客から改善要望あり。次スプリントで対応方針を決定。","","4/17/2026","4/21/2026","4/24/2026","基本設計","要"
"1028","DEMO-028","質問","処理中","セキュリティ","決済処理のエラーハンドリング強化","詳細調査中。再現手順を固めてから改修に入る予定。","渡辺　涼","3/31/2026","4/28/2026","4/18/2026","リリース","要"
"1029","DEMO-029","課題","処理中","","セッションタイムアウト設定","現在の設計では対応難。代替案を検討中。","渡辺　涼","4/23/2026","5/12/2026","4/11/2026","","要"
"1030","DEMO-030","質問","処理中","性能","セッションタイムアウト設定","一時対応済み。恒久対応は次フェーズにキャリーオーバー。","田中　太郎","4/20/2026","5/1/2026","4/13/2026","","要"
"1031","DEMO-031","課題","処理中","セキュリティ","管理画面の権限バグ","現在の設計では対応難。代替案を検討中。","田中太郎","4/1/2026","4/10/2026","4/12/2026","基本設計","要"
"1032","DEMO-032","課題","処理中","インフラ","通知メール文面レビュー","顧客から改善要望あり。次スプリントで対応方針を決定。","田中 太郎","3/29/2026","4/10/2026","4/20/2026","リリース","要"
"1033","DEMO-033","作業","未対応","運用","コードレビュー指摘事項の対応","詳細調査中。再現手順を固めてから改修に入る予定。","渡辺　涼","4/8/2026","5/1/2026","4/24/2026","実装","要"
"1034","DEMO-034","課題","処理中","性能","通知メール文面レビュー","別部署からの連絡待ち。今週金曜までに回答を得たい。","田中太郎","4/14/2026","5/5/2026","4/17/2026","",""
"1035","DEMO-035","質問","未対応","データ移行","既存機能のリファクタリング","詳細調査中。再現手順を固めてから改修に入る予定。","鈴木次郎","4/1/2026","4/14/2026","4/11/2026","基本設計","要"
"1036","DEMO-036","課題","完了","UI/UX","API 仕様書の更新漏れ","顧客から改善要望あり。次スプリントで対応方針を決定。","高橋　美咲","4/2/2026","4/6/2026","4/12/2026","詳細設計","不"
"1037","DEMO-037","課題","処理済み","UI/UX","SSL 証明書更新","顧客から改善要望あり。次スプリントで対応方針を決定。","伊藤 健一","4/21/2026","4/26/2026","4/15/2026","運用","不"
"1038","DEMO-038","リスク","処理済み","運用","オンプレ → クラウド移行計画","別部署からの連絡待ち。今週金曜までに回答を得たい。","鈴木次郎","4/6/2026","4/17/2026","4/15/2026","テスト","要"
"1039","DEMO-039","課題","完了","ドキュメント","セッションタイムアウト設定","現在の設計では対応難。代替案を検討中。","田中太郎","3/28/2026","","4/23/2026","","要"
"1040","DEMO-040","リスク","未対応","データ移行","既存機能のリファクタリング","","田中太郎","3/25/2026","4/6/2026","4/14/2026","実装","要"
"1041","DEMO-041","質問","処理済み","運用","顧客データ移行手順の確認","詳細調査中。再現手順を固めてから改修に入る予定。","高橋　美咲","4/6/2026","4/30/2026","4/23/2026","基本設計","不"
"1042","DEMO-042","作業","未対応","UI/UX","自動テストの追加","顧客から改善要望あり。次スプリントで対応方針を決定。","佐藤 花子","4/6/2026","4/27/2026","4/13/2026","テスト","要"
"1043","DEMO-043","質問","処理済み","互換性","管理画面の権限バグ","","高橋　美咲","4/9/2026","5/5/2026","4/13/2026","要件定義","要"
"1044","DEMO-044","質問","処理済み","インフラ","決済処理のエラーハンドリング強化","詳細調査中。再現手順を固めてから改修に入る予定。","高橋　美咲","3/15/2026","4/13/2026","4/14/2026","運用",""
"1045","DEMO-045","課題","未対応","運用","SSL 証明書更新","一時対応済み。恒久対応は次フェーズにキャリーオーバー。","田中　太郎","3/31/2026","4/25/2026","4/12/2026","実装","不"
"1046","DEMO-046","リスク","完了","","本番 DB 接続タイムアウト調査","現在の設計では対応難。代替案を検討中。","","4/16/2026","4/30/2026","4/12/2026","詳細設計","要"
"1047","DEMO-047","作業","処理済み","インフラ","顧客データ移行手順の確認","詳細調査中。再現手順を固めてから改修に入る予定。","田中　太郎","3/29/2026","4/26/2026","4/11/2026","詳細設計","要"
"1048","DEMO-048","課題","処理済み","データ移行","既存機能のリファクタリング","詳細調査中。再現手順を固めてから改修に入る予定。","田中 太郎","4/20/2026","5/6/2026","4/24/2026","基本設計","不"
"1049","DEMO-049","リスク","処理中","互換性","自動テストの追加","顧客から改善要望あり。次スプリントで対応方針を決定。","田中太郎","4/20/2026","","4/21/2026","要件定義",""
"1050","DEMO-050","課題","未対応","","パスワードリセットのフロー改善","詳細調査中。再現手順を固めてから改修に入る予定。","佐藤 花子","4/21/2026","5/2/2026","4/13/2026","実装","要"
